Familia actualizada,Género actualizado,Especie actualizada,Taxa infraespecífico,Autor,MEXUw,Colector,Colectores asociados,N° Colecta,Familia anterior,Género anterior,Especie anterior,Estado,País,Fecha,Día,Mes,Año,Institución,Donaciones,Péstamos/ Exhibiciones,Nombre común,Forma de vida,Parte del árbol donde se realizó la colecta,Altura,DAP,Altura de colecta,N° Fam,Nº Género,,,,,,,,,,,,
Lauraceae,Licaria,misantlae, ,(Brandegee) Kosterm.,MEXUw-0067,"Miranda, Faustino",,7580,,,coriacea,Chiapas,México,1/1/1950,1,1,1950,"Instituto de Biología, UNAM",,,,Árbol,,,,,102,2788A,,,,,,,,,,,,
Lauraceae,Beilschmiedia,riparia, ,Miranda,MEXUw-0068,Enriquez,,7568,,,,Chiapas,México,13/8/1952,13,8,1952,"Instituto de Biología, UNAM",,,"Guacatemico, guaquemico",Árbol,,,,,102,2801,,,,,,,,,,,,
Polygonaceae,Coccoloba,acapulcensis, ,Standl.,MEXUw-0069,"López, Enrique",,7572,,,,Chiapas,México,19/8/1952,19,8,1952,"Instituto de Biología, UNAM",,,Carnero,Árbol,,,,,77,2209,,,,,,,,,,,,
Polygonaceae,Gymnopodium,antigonoides, ,(B.L. Rob. ex Millsp. & Loes.) S.F. Blake,MEXUw-0070,Enriquez,,7482,,,,Chiapas,México,5/3/1952,5,3,1952,"Instituto de Biología, UNAM",,,,Árbol,,,,,77,2207A,,,,,,,,,,,,
Urticaceae,Urera,sp., ,Gaudich.,MEXUw-0071,"López, Enrique",,7580/A,,,,Chiapas,México,15/10/1952,15,10,1952,"Instituto de Biología, UNAM",,,Ortiga,Árbol,,,,,65,1978,,,,,,,,,,,,
Moraceae,Ficus,aurea, ,Nutt. ,MEXUw-0072,"López, Enrique",,7561,,,cookii,Chiapas,México,8/8/1952,8,8,1952,"Instituto de Biología, UNAM",,,Higo colorado,Árbol,,,,,64,1961,,,,,,,,,,,,
Moraceae,Ficus,cotinifolia, ,Kunth,MEXUw-0073,"López, Enrique",,7580,,,,Chiapas,México,27/9/1952,27,9,1952,"Instituto de Biología, UNAM",,,Amate,Árbol,,,,,64,1961,,,,,,,,,,,,
Moraceae,Brosimum,alicastrum, ,Sw.,MEXUw-0074,Enriquez,,7448,,,,Chiapas,México,4/1/1952,4,1,1952,"Instituto de Biología, UNAM",,,Moju,Árbol,,,,,64,1957,,,,,,,,,,,,
Fabaceae,Lonchocarpus,sp., ,Kunth,MEXUw-0075,"Miranda, Faustino",,7489,Leguminosae,,,Chiapas,México,NA,NA,NA,NA,"Instituto de Biología, UNAM",,,Barbasco,Árbol,,,,,128,3834,,,,,,,,,,,,
Fabaceae,Andira,galeottiana, ,Standl.,MEXUw-0076,"Miranda, Faustino",,7606,Leguminosae,,,Chiapas,México,NA,NA,NA,NA,"Instituto de Biología, UNAM",,,Ramón,Árbol,,,,,128,3841,,,,,,,,,,,,
Convolvulaceae,Ipomoea,philomega, ,(Vell.),MEXUw-0077,"León Gómez, Calixto",,918,,,,Veracruz,México,4/5/2002,4,5,2002,"Instituto de Biología, UNAM",,,Asmolle,Liana,,,,,249,7003,,,,,,,,,,,,
Fabaceae,Dalbergia,funera, ,Standl.,MEXUw-0078,"Miranda, Faustino",,6495,Leguminosae,,,Chiapas,México,6/8/1950,6,8,1950,"Instituto de Biología, UNAM",,,Peine,Árbol,,,,,128,3821,,,,,,,,,,,,
Fabaceae,Vatairea,lundellii, ,(Standl.) Killip ex Record,MEXUw-0079,Enriquez,,6769,Leguminosae,,,Chiapas,México,6/12/1950,6,12,1950,"Instituto de Biología, UNAM",,,Jacacera,Árbol,,,,,128,3828B,,,,,,,,,,,,
Fabaceae,Gliricidia,sepium, ,(Jacq.) Kunth ex Walp.,MEXUw-0080,"López, Enrique",,7565/A,Leguminosae,,,Chiapas,México,13/8/1952,13,8,1952,"Instituto de Biología, UNAM",,,"Chincoya, cuchunuc",Árbol,,,,,128,3734,,,,,,,,,,,,
Fabaceae,Gliricidia,sepium, ,(Jacq.) Kunth ex Walp.,MEXUw-0081,"López, Enrique",,7565,Leguminosae,,,Chiapas,México,13/8/1952,13,8,1952,"Instituto de Biología, UNAM",,,"Chincoya, cuchunuc",Árbol,,,,,128,3734,,,,,,,,,,,,
Fabaceae,Eysenhardtia,adenostylis, ,Baill.,MEXUw-0082,"Miranda, Faustino",,7574,Leguminosae,,,Chiapas,México,NA,NA,NA,NA,"Instituto de Biología, UNAM",,,Taray,Árbol,,,,,128,3708,,,,,,,,,,,,
Fabaceae,Myroxylon,balsamum, ,(L.) Harms,MEXUw-0083,Enriquez,,6740,Leguminosae,,balsamun var. pereirae,Chiapas,México,NA,NA,NA,NA,"Instituto de Biología, UNAM",,,Balsamo,Árbol,,,,,128,3584,,,,,,,,,,,,
Fabaceae,Conzattia,chiapensis, ,Miranda,MEXUw-0084,"López, Enrique",,7571,Leguminosae,,,Chiapas,México,19/8/1952,19,8,1952,"Instituto de Biología, UNAM",,,Guaje de zope,Árbol,,,,,128,3554B,,,,,,,,,,,,
Fabaceae,Bauhinia,cookii, ,Rose,MEXUw-0085,Enriquez,,7479,Leguminosae,,calderonii,Chiapas,México,24/11/1952,24,11,1952,"Instituto de Biología, UNAM",,,Cachito de venado,Árbol,,,,,128,3528,,,,,,,,,,,,
Fabaceae,Leucaena,collinsii, ,Britton & Rose,MEXUw-0086,Enriquez,,7575,Leguminosae,,,Chiapas,México,19/8/1952,19,8,1952,"Instituto de Biología, UNAM",,,Guaje,Árbol,,,,,128,3447,,,,,,,,,,,,
Fabaceae,Pithecellobium,lanceolatum, ,(Humb. & Bonpl. ex Willd.) Benth.,MEXUw-0087,Enriquez,,7485,Leguminosae,,pachypus,Chiapas,México,5/3/1952,5,3,1952,"Instituto de Biología, UNAM",,,Patzagua,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Lysiloma,acapulcense, ,(Kunth) Benth.,MEXUw-0088,"López, Enrique",,7577,Leguminosae,,desmostachyum,Chiapas,México,19/8/1952,19,8,1952,"Instituto de Biología, UNAM",,,Bejuco,Árbol,,,,,128,3445,,,,,,,,,,,,
Fabaceae,Balizia,leucocalix, ,(Britton & Rose) Barneby & J.W.Grimes,MEXUw-0089,Enriquez,,7602,Leguminosae,Pithecellobium,,Chiapas,México,14/3/1952,14,3,1952,"Instituto de Biología, UNAM",,,Guacirán,Árbol,,,,,128,3441,,,,,,,,,,,,
